Customer,Spectral Frequency,K-means cluster,Profiles
673,0.51,6,['KVKSEGMENT_16']
674,24.0,1,['E3B']
675,0.53,6,['E3B']
676,24.0,1,['KVKSEGMENT_18']
677,24.0,1,['E3B']
678,0.61,17,['E3A']
682,0.51,6,['E3A']
684,24.0,1,['KVKSEGMENT_19']
685,0.6,17,['KVKSEGMENT_11']
686,24.0,1,['KVKSEGMENT_1']
687,0.6,17,['KVKSEGMENT_13']
688,12.0,2,['E3C']
689,1.0,0,['KVKSEGMENT_8']
692,0.5,6,['KVKSEGMENT_1']
693,24.0,1,['E3C']
694,24.0,1,['KVKSEGMENT_10']
696,24.0,1,['KVKSEGMENT_1']
698,0.54,25,['E3A']
700,1.5,10,['E3C']
702,1.0,0,['KVKSEGMENT_8']
703,2.0,9,['E3C']
704,24.0,1,['E3B']
705,24.0,1,['KVKSEGMENT_8']
707,24.0,1,['KVKSEGMENT_19']
708,24.0,1,['KVKSEGMENT_15']
710,24.0,1,['KVKSEGMENT_20']
713,0.51,6,['KVKSEGMENT_15']
714,0.72,13,['KVKSEGMENT_11']
715,2.0,9,['KVKSEGMENT_18']
717,24.0,1,['E3B']
718,24.0,1,['KVKSEGMENT_13']
719,24.0,1,['E3A']
720,24.0,1,['E3A']
721,0.85,21,['E3C']
722,0.5,6,['E3A']
723,1.71,18,['KVKSEGMENT_18']
725,0.51,6,['KVKSEGMENT_13']
727,24.0,1,['KVKSEGMENT_18']
728,24.0,1,['KVKSEGMENT_18']
729,0.75,13,['KVKSEGMENT_2']
730,0.54,25,['KVKSEGMENT_1']
731,0.51,6,['E3A']
732,24.0,1,['KVKSEGMENT_13']
734,24.0,1,['KVKSEGMENT_10']
735,1.0,0,['E3D']
737,1.04,0,['KVKSEGMENT_8']
738,24.0,1,['KVKSEGMENT_16']
741,1.14,14,['KVKSEGMENT_18']
742,2.18,20,['E3B']
745,6.0,4,['E3A']
746,0.96,0,['KVKSEGMENT_2']
747,24.0,1,['E3A']
749,12.0,2,['E3A']
750,2.0,9,['KVKSEGMENT_14']
752,0.56,25,['E3C']
753,12.0,2,['KVKSEGMENT_10']
756,4.8,12,['E3D']
757,0.5,6,['E3A']
758,0.62,17,['E3A']
759,24.0,1,['KVKSEGMENT_12']
763,24.0,1,['KVKSEGMENT_20']
765,24.0,1,['KVKSEGMENT_18']
768,2.67,16,['KVKSEGMENT_1']
770,0.6,17,['E3B']
771,0.92,21,['E3A']
773,24.0,1,['KVKSEGMENT_1']
774,0.86,21,['E3C']
775,24.0,1,['KVKSEGMENT_1']
776,1.34,19,['E3C']
777,0.5,6,['KVKSEGMENT_7']
778,0.75,13,['KVKSEGMENT_8']
779,0.61,17,['KVKSEGMENT_14']
781,24.0,1,['KVKSEGMENT_4']
785,24.0,1,['E3C']
786,2.4,5,['KVKSEGMENT_8']
787,24.0,1,['KVKSEGMENT_13']
788,24.0,1,['E3A']
790,1.33,19,['E3B']
796,0.59,17,['KVKSEGMENT_8']
797,24.0,1,['KVKSEGMENT_13']
798,0.77,13,['KVKSEGMENT_4']
799,24.0,1,['KVKSEGMENT_8']
802,24.0,1,['KVKSEGMENT_1']
805,24.0,1,['KVKSEGMENT_8']
806,24.0,1,['E3C']
808,12.0,2,['KVKSEGMENT_8']
809,8.0,7,['KVKSEGMENT_19']
810,8.0,7,['KVKSEGMENT_19']
812,24.0,1,['KVKSEGMENT_13']
813,1.56,10,['E3D']
814,1.33,19,['KVKSEGMENT_16']
815,1.0,0,['E3D']
817,24.0,1,['E3A']
818,1.04,0,['KVKSEGMENT_18']
820,0.5,6,['E3A']
822,24.0,1,['E3A']
823,0.53,6,['E3A']
824,1.0,0,['E3C']
827,0.86,21,['KVKSEGMENT_13']
828,24.0,1,['KVKSEGMENT_1']
829,6.0,4,['KVKSEGMENT_19']
831,8.0,7,['KVKSEGMENT_1']
832,24.0,1,['KVKSEGMENT_16']
834,24.0,1,['KVKSEGMENT_19']
835,24.0,1,['KVKSEGMENT_8']
836,12.0,2,['E3A']
837,24.0,1,['KVKSEGMENT_1']
839,1.71,18,['E3B']
843,1.26,19,['E3C']
844,24.0,1,['E3A']
845,24.0,1,['E3C']
846,24.0,1,['KVKSEGMENT_8']
849,24.0,1,['KVKSEGMENT_12']
851,3.43,15,['KVKSEGMENT_8']
852,0.63,22,['KVKSEGMENT_7']
854,24.0,1,['KVKSEGMENT_15']
858,0.57,25,['E3A']
861,24.0,1,['KVKSEGMENT_4']
862,0.56,25,['E3A']
863,0.96,0,['KVKSEGMENT_1']
864,1.41,10,['E3A']
865,24.0,1,['KVKSEGMENT_7']
867,24.0,1,['E3C']
868,24.0,1,['KVKSEGMENT_8']
869,24.0,1,['E3B']
872,0.51,6,['E3B']
873,24.0,1,['E3C']
874,24.0,1,['KVKSEGMENT_14']
875,24.0,1,['KVKSEGMENT_1']
877,0.96,0,['E3A']
878,24.0,1,['E3B']
880,0.59,17,['KVKSEGMENT_19']
881,0.5,6,['E3C']
883,24.0,1,['KVKSEGMENT_1']
884,0.51,6,['KVKSEGMENT_11']
888,12.0,2,['KVKSEGMENT_1']
889,4.0,8,['KVKSEGMENT_14']
890,0.67,22,['KVKSEGMENT_8']
891,0.5,6,['KVKSEGMENT_14']
893,24.0,1,['KVKSEGMENT_4']
895,0.83,21,['E3A']
897,24.0,1,['KVKSEGMENT_1']
898,0.5,6,['E3A']
899,0.5,6,['E3B']
900,24.0,1,['KVKSEGMENT_1']
902,0.55,25,['E3B']
903,24.0,1,['KVKSEGMENT_20']
904,24.0,1,['KVKSEGMENT_1']
905,24.0,1,['KVKSEGMENT_8']
906,2.0,9,['KVKSEGMENT_1']
907,24.0,1,['KVKSEGMENT_1']
910,1.33,19,['KVKSEGMENT_2']
911,1.6,18,['KVKSEGMENT_18']
912,0.51,6,['E3C']
915,24.0,1,['KVKSEGMENT_19']
917,0.59,17,['KVKSEGMENT_6']
918,24.0,1,['E3C']
921,0.5,6,['KVKSEGMENT_16']
925,24.0,1,['E3C']
927,24.0,1,['KVKSEGMENT_2']
931,0.51,6,['E3C']
932,0.55,25,['KVKSEGMENT_20']
934,0.55,25,['KVKSEGMENT_17']
935,0.67,22,['KVKSEGMENT_8']
936,24.0,1,['E3C']
938,0.54,25,['E3C']
939,0.67,22,['KVKSEGMENT_1']
940,8.0,7,['KVKSEGMENT_14']
941,12.0,2,['KVKSEGMENT_10']
943,0.56,25,['KVKSEGMENT_8']
944,0.5,6,['KVKSEGMENT_13']
945,0.88,21,['E3B']
946,0.53,6,['KVKSEGMENT_20']
948,0.54,25,['E3A']
952,24.0,1,['KVKSEGMENT_14']
954,0.52,6,['KVKSEGMENT_20']
955,24.0,1,['KVKSEGMENT_12']
957,12.0,2,['KVKSEGMENT_6']
958,0.67,22,['KVKSEGMENT_16']
961,24.0,1,['E3A']
963,0.76,13,['KVKSEGMENT_9']
964,24.0,1,['E3D']
966,1.2,14,['E3A']
967,0.5,6,['KVKSEGMENT_11']
969,24.0,1,['E3C']
973,24.0,1,['KVKSEGMENT_17']
977,24.0,1,['E3C']
978,24.0,1,['KVKSEGMENT_10']
986,24.0,1,['KVKSEGMENT_1']
987,24.0,1,['E3B']
988,4.14,8,['E3A']
991,0.53,6,['KVKSEGMENT_8']
992,0.89,21,['E3C']
993,24.0,1,['KVKSEGMENT_13']
994,24.0,1,['KVKSEGMENT_8']
995,0.54,25,['KVKSEGMENT_4']
997,24.0,1,['E3B']
999,24.0,1,['KVKSEGMENT_1']
1001,0.6,17,['E3B']
1003,24.0,1,['E3C']
1004,0.5,6,['E3B']
1005,0.58,17,['E3C']
1007,4.8,12,['KVKSEGMENT_8']
1008,0.52,6,['KVKSEGMENT_12']
1009,24.0,1,['KVKSEGMENT_20']
1010,24.0,1,['E3A']
1014,0.52,6,['E3B']
1015,24.0,1,['KVKSEGMENT_18']
1016,24.0,1,['E3B']
1017,0.51,6,['E3C']
1018,24.0,1,['KVKSEGMENT_4']
1019,0.53,6,['E3A']
1021,24.0,1,['E3C']
1023,24.0,1,['E3A']
1024,3.0,11,['KVKSEGMENT_4']
1025,0.52,6,['E3B']
1028,24.0,1,['KVKSEGMENT_9']
1030,0.5,6,['KVKSEGMENT_1']
1031,24.0,1,['E3B']
1033,24.0,1,['E3A']
1037,0.51,6,['E3A']
1039,24.0,1,['E3B']
1040,24.0,1,['E3B']
1041,12.0,2,['KVKSEGMENT_18']
1045,0.58,17,['E3A']
1046,0.5,6,['KVKSEGMENT_17']
1048,24.0,1,['KVKSEGMENT_18']
1049,24.0,1,['E3C']
1050,6.0,4,['E3B']
1052,12.0,2,['E3C']
1053,1.5,10,['E3B']
1054,0.59,17,['E3D']
1055,24.0,1,['E3A']
1056,0.52,6,['E3C']
1057,8.0,7,['KVKSEGMENT_6']
1058,0.51,6,['KVKSEGMENT_1']
1060,24.0,1,['E3A']
1062,24.0,1,['KVKSEGMENT_18']
1063,2.67,16,['KVKSEGMENT_14']
1064,24.0,1,['E3A']
1065,24.0,1,['E3B']
1066,24.0,1,['KVKSEGMENT_17']
1067,2.4,5,['E3C']
1068,0.5,6,['KVKSEGMENT_20']
1070,8.0,7,['KVKSEGMENT_19']
1071,24.0,1,['KVKSEGMENT_2']
1072,24.0,1,['KVKSEGMENT_8']
1073,0.83,21,['E3B']
1074,24.0,1,['E3A']
1075,24.0,1,['E3B']
1076,24.0,1,['KVKSEGMENT_1']
1077,24.0,1,['KVKSEGMENT_8']
1081,24.0,1,['E3A']
1082,0.5,6,['E3A']
1083,0.55,25,['E3A']
1084,24.0,1,['KVKSEGMENT_9']
1085,24.0,1,['KVKSEGMENT_8']
1087,24.0,1,['KVKSEGMENT_11']
1088,12.0,2,['E3C']
1089,24.0,1,['KVKSEGMENT_12']
1091,0.53,6,['KVKSEGMENT_18']
1093,0.5,6,['KVKSEGMENT_14']
1094,24.0,1,['E3A']
1096,0.52,6,['E3C']
1097,0.52,6,['KVKSEGMENT_14']
1098,1.0,0,['E3B']
1099,0.57,25,['E3A']
1103,12.0,2,['KVKSEGMENT_10']
1105,24.0,1,['KVKSEGMENT_13']
1106,12.0,2,['KVKSEGMENT_10']
1107,0.54,25,['E3C']
1109,24.0,1,['KVKSEGMENT_4']
1110,24.0,1,['KVKSEGMENT_9']
1111,0.51,6,['KVKSEGMENT_13']
1112,24.0,1,['KVKSEGMENT_2']
1113,0.51,6,['KVKSEGMENT_16']
1114,0.5,6,['KVKSEGMENT_8']
1115,0.5,6,['E3C']
1116,0.57,25,['E3B']
1117,1.41,10,['KVKSEGMENT_12']
1118,0.55,25,['KVKSEGMENT_13']
